i,perc,n,acc,cor,alpha
13,0.7631578947368421,4603,0.5492957746478874,0.34693748105143507,0.33717734036839286
13,0.8105263157894737,4954,0.5633802816901409,0.4104106438609297,0.40179045217033027
13,0.8578947368421053,5247,0.573943661971831,0.4228611077353362,0.4140228110369558
13,0.9052631578947369,5475,0.573943661971831,0.406803867894254,0.3975177148893094
13,0.9526315789473684,5761,0.5598591549295775,0.4087903307501457,0.40084288520351075
13,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
14,0.1,604,0.38028169014084506,-0.01710651112171064,-0.018983766972059835
14,0.1473684210526316,893,0.5140845070422535,0.24494414840575265,0.23503724801376513
14,0.19473684210526315,1181,0.43661971830985913,0.23212686113023379,0.22216940128219065
14,0.24210526315789474,1422,0.4647887323943662,0.17308752964097615,0.1616855000528038
14,0.2894736842105263,1730,0.4894366197183099,0.35590850279092495,0.33982291299991874
14,0.33684210526315794,2077,0.4612676056338028,0.20552630083478854,0.1911554921540657
14,0.38421052631578945,2315,0.5211267605633803,0.3364805158837151,0.32554110315223284
14,0.43157894736842106,2607,0.5035211267605634,0.3236048866859003,0.30911700197665914
14,0.4789473684210527,2888,0.5070422535211268,0.2822924767023363,0.27399824510090676
14,0.5263157894736842,3246,0.5528169014084507,0.3947602360859377,0.3725535133153045
14,0.5736842105263158,3487,0.545774647887324,0.36453278166113573,0.3518828262736766
14,0.6210526315789474,3736,0.5669014084507042,0.4226313253586148,0.4086893213435391
14,0.6684210526315789,4051,0.545774647887324,0.3213983568673849,0.3146655922643029
14,0.7157894736842105,4347,0.5563380281690141,0.38826381065662874,0.37703917398595466
14,0.7631578947368421,4640,0.5492957746478874,0.3586788325808702,0.34893223937852424
14,0.8105263157894737,4871,0.5492957746478874,0.3872585752607144,0.3734143291048776
14,0.8578947368421053,5178,0.573943661971831,0.39749397195353303,0.3885182584269663
14,0.9052631578947369,5407,0.5633802816901409,0.4100626587705479,0.40083288000150075
14,0.9526315789473684,5744,0.5774647887323944,0.4256976891984255,0.4177231734413802
14,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
